"time","pdcsap_flux"
1517.35012831049,NA
1517.35290609432,NA
1517.35429498612,NA
1517.35707276971,NA
1517.35846166175,NA
1517.35985055354,NA
1517.36123944558,NA
1517.36262833737,NA
1517.3654061212,NA
1517.36679501324,NA
1517.37373947316,NA
1517.37512836519,NA
1517.37651725722,NA
1517.37790614949,NA
1517.38623950191,NA
1517.3890172862,NA
1517.39179507073,NA
1517.39596174729,NA
1517.40151731611,NA
1517.40429510087,NA
1517.40568399314,NA
1517.4070728854,NA
1517.40846177766,NA
1517.40985066993,NA
1517.41123956243,NA
1517.41262845469,NA
1517.41401734719,NA
1517.41540623945,NA
1517.41679513171,NA
1517.41818402421,NA
1517.41957291671,NA
1517.42096180897,NA
1517.42235070147,NA
1517.42373959397,NA
1517.42512848623,NA
1517.42651737873,NA
1517.42790627122,NA
1517.42929516372,NA
1517.43068405622,NA
1517.43207294872,NA
1517.43346184121,NA
1517.43485073371,NA
1517.43623962621,NA
1517.4376285187,NA
1517.43901741143,NA
1517.44040630393,NA
1517.44179519643,NA
1517.44318408916,NA
1517.44457298165,NA
1517.44596187415,NA
1517.44735076688,NA
1517.44873965938,NA
1517.45012855211,NA
1517.4515174446,NA
1517.45290633733,NA
1517.45429523006,NA
1517.45568412256,NA
1517.45707301529,NA
1517.45846190802,NA
1517.45985080075,NA
1517.46123969348,NA
1517.46262858598,NA
1517.46401747871,NA
1517.46540637143,NA
1517.46679526416,NA
1517.4681841569,NA
1517.46957304962,NA
1517.47096194259,NA
1517.47235083532,NA
1517.47373972805,NA
1517.47512862078,NA
1517.47651751351,NA
1517.47790640647,NA
1517.4792952992,NA
1517.48068419193,NA
1517.48207308489,NA
1517.48346197762,NA
1517.48485087058,NA
1517.48623976331,NA
1517.48762865628,NA
1517.48901754901,NA
1517.49040644197,NA
1517.49179533493,NA
1517.49318422766,NA
1517.49457312062,NA
1517.49596201359,NA
1517.49735090655,NA
1517.49873979928,NA
1517.50012869224,NA
1517.5015175852,NA
1517.50290647817,NA
1517.50429537113,NA
1517.50568426409,NA
1517.50707315705,NA
1517.50846205002,NA
1517.50985094298,NA
1517.51123983594,NA
1517.5126287289,NA
1517.5140176221,NA
1517.51540651506,NA
1517.51679540802,NA
1517.51818430099,NA
1517.51957319418,NA
1517.52096208714,NA
1517.52235098011,NA
1517.5237398733,NA
1517.52512876626,NA
1517.52651765923,NA
1517.52790655242,NA
1517.52929544539,NA
1517.53068433858,NA
1517.53207323178,NA
1517.53346212474,NA
1517.53485101793,NA
1517.5362399109,NA
1517.53762880409,NA
1517.53901769729,NA
1517.54040659025,NA
1517.54179548345,NA
1517.54318437664,NA
1517.54457326984,NA
1517.54596216303,NA
1517.54735105599,NA
1517.54873994919,NA
1517.55012884238,NA
1517.55151773558,NA
1517.55290662878,NA
1517.55429552197,NA
1517.55568441517,NA
1517.55707330836,NA
1517.55846220156,NA
1517.55985109475,NA
1517.56123998818,NA
1517.56262888138,NA
1517.56401777457,NA
1517.56540666777,NA
1517.56679556096,NA
1517.56818445416,NA
1517.56957334759,NA
1517.57096224078,NA
1517.57235113398,NA
1517.57374002741,NA
1517.5751289206,NA
1517.5765178138,NA
1517.57790670722,NA
1517.57929560042,NA
1517.58068449385,NA
1517.58207338704,NA
1517.58346228047,NA
1517.58485117367,NA
1517.5862400671,NA
1517.58762896029,NA
1517.58901785372,NA
1517.59040674715,NA
1517.59179564034,NA
1517.59318453377,NA
1517.5945734272,NA
1517.59596232039,NA
1517.59735121382,NA
1517.59874010725,NA
1517.60012900068,NA
1517.60151789387,NA
1517.6029067873,NA
1517.60429568073,NA
1517.60568457416,NA
1517.60707346759,NA
1517.60846236101,NA
1517.60985125421,NA
1517.61124014764,NA
1517.61262904107,NA
1517.6140179345,NA
1517.61540682792,NA
1517.61679572135,NA
1517.61818461478,NA
1517.61957350821,NA
1517.62096240164,NA
1517.6223512953,NA
1517.62374018873,NA
1517.62512908216,NA
1517.62651797558,NA
1517.62790686901,NA
1517.62929576244,NA
1517.63068465587,NA
1517.63207354953,NA
1517.63346244296,NA
1517.63485133638,NA
1517.63624022981,NA
1517.63762912347,NA
1517.6390180169,NA
1517.64040691033,NA
1517.64179580399,NA
1517.64318469742,NA
1517.64457359085,NA
1517.64596248451,NA
1517.64735137794,NA
1517.6487402716,NA
1517.65012916503,NA
1517.65151805846,NA
1517.65290695212,NA
1517.65429584554,NA
1517.6556847392,NA
1517.65707363263,NA
1517.6584625263,NA
1517.65985141996,NA
1517.66124031338,NA
1517.66262920705,NA
1517.66401810047,NA
1517.66540699413,NA
1517.66679588756,NA
1517.66818478122,NA
1517.66957367488,NA
1517.67096256831,NA
1517.67235146197,NA
1517.67374035563,NA
1517.6751292493,NA
1517.67651814272,NA
1517.67790703639,NA
1517.67929593005,NA
1517.68068482371,NA
1517.68207371714,NA
1517.6834626108,NA
1517.68485150446,NA
1517.68624039812,NA
1517.68762929178,NA
1517.68901818521,NA
1517.69040707887,NA
1517.69179597253,NA
1517.69318486619,NA
1517.69457375985,NA
1517.69596265351,NA
1517.69735154718,NA
1517.69874044084,NA
1517.7001293345,NA
1517.70151822816,NA
1517.70290712182,NA
1517.70429601548,NA
1517.70568490914,NA
1517.7070738028,NA
1517.70846269646,NA
1517.70985159012,NA
1517.71124048379,NA
1517.71262937745,NA
1517.71401827111,NA
1517.71540716477,NA
1517.71679605843,NA
1517.71818495209,NA
1517.71957384575,NA
1517.72096273965,NA
1517.72235163331,NA
1517.72374052697,NA
1517.72512942063,NA
1517.72651831429,NA
