"time","pdcsap_flux","pdcsap_flux_arma"
1437.97864552266,NA,1569.3108
1437.98003440042,NA,1567.5781
1437.98142327817,NA,1560.4857
1437.98281215596,NA,1562.4293
1437.98420103374,NA,1561.7263
1437.98558991153,NA,1561.5299
1437.98697878931,NA,1557.9659
1437.98836766712,NA,1567.9606
1437.98975654494,NA,1566.4429
1437.99114542278,NA,1551.7664
1437.99253430062,NA,1549.4373
1437.99392317846,NA,1557.703
1437.99531205631,NA,1550.8435
1437.99670093418,NA,1575.6901
1437.99808981205,NA,1563.1754
1437.99947868992,NA,1565.4978
1438.00086756779,NA,1558.6792
1438.00225644569,NA,1559.7567
1438.00364532359,NA,1553.5913
1438.00503420152,NA,1557.083
1438.00642307945,NA,1562.9087
1438.00781195738,NA,1559.8549
1438.00920083531,NA,1563.7281
1438.01058971327,NA,1556.9967
1438.01197859123,NA,1555.3977
1438.01336746919,NA,1554.5415
1438.01475634718,NA,1547.7378
1438.01614522513,NA,1556.9224
1438.01753410315,NA,1552.0383
1438.01892298114,NA,1561.2327
1438.02031185916,NA,1558.6692
1438.02170073717,NA,1564.6759
1438.02308961519,NA,1556.6483
1438.02447849324,NA,1561.9932
1438.02586737128,NA,1530.5082
1438.02725624933,NA,1534.733
1438.02864512737,NA,1558.9431
1438.03003400545,NA,1553.7203
1438.03142288352,NA,1543.8163
1438.0328117616,NA,1539.3099
1438.0342006397,NA,1549.0959
1438.03558951781,NA,1564.8268
1438.03697839591,NA,1560.0947
1438.03836727405,NA,1546.209
1438.03975615218,NA,1551.655
1438.04114503031,NA,1561.5553
1438.04253390845,NA,1544.1809
1438.04392278661,NA,1543.8636
1438.04531166477,NA,1555.0214
1438.04670054293,NA,1552.3783
1438.04808942113,NA,1540.9323
1438.04947829929,NA,1569.8641
1438.05086717751,NA,1559.3992
1438.0522560557,NA,1567.5112
1438.05364493392,NA,1559.0718
1438.05503381214,NA,1575.0322
1438.05642269036,NA,1557.1351
1438.05781156858,NA,1556.8053
1438.05920044683,NA,1549.3649
1438.06058932508,NA,1564.83
1438.06197820336,NA,1563.8311
1438.06336708161,NA,1560.2128
1438.06475595989,NA,1558.4885
1438.06614483817,NA,1560.7346
1438.06753371648,NA,1560.8342
1438.06892259479,NA,1572.6846
1438.07031147309,NA,1563.6687
1438.0717003514,NA,1563.3291
1438.07308922974,NA,1548.9423
1438.07447810808,NA,1545.3315
1438.07586698641,NA,1566.6603
1438.07725586475,NA,1551.222
1438.07864474312,NA,1571.7682
1438.08003362148,NA,1569.4061
1438.08142249985,NA,1567.9987
1438.08281137824,NA,1564.5524
1438.08420025664,NA,1567.8807
1438.08558913503,NA,1568.0911
1438.08697801343,NA,1584.2742
1438.08836689185,NA,1568.1345
1438.08975577028,NA,1576.8806
1438.0911446487,NA,1556.8624
1438.09253352713,NA,1567.7266
1438.09392240558,NA,1562.0967
1438.09531128403,NA,1561.5656
1438.09670016249,NA,1586.4723
1438.09808904097,NA,1572.9591
1438.09947791945,NA,1575.6594
1438.10086679794,NA,1567.9053
1438.10225567642,NA,1569.4688
1438.10364455493,NA,1581.7045
1438.10503343344,NA,1564.2517
1438.10642231195,NA,1586.2395
1438.10781119047,NA,1576.3246
1438.10920006901,NA,1566.4537
1438.11058894755,NA,1577.2867
1438.11197782609,NA,1566.9438
1438.11336670466,NA,1573.8651
1438.1147555832,NA,1568.6547
1438.11614446177,NA,1578.1595
1438.11753334037,NA,1557.5466
1438.11892221894,NA,1580.7731
1438.12031109754,NA,1573.6827
1438.12169997614,NA,1572.9022
1438.12308885474,NA,1575.2981
1438.12447773336,NA,1547.7728
1438.12586661199,NA,1562.5039
1438.12725549062,NA,1576.4484
1438.12864436925,NA,1567.9768
1438.1300332479,NA,1554.8031
1438.13142212656,NA,1583.6047
1438.13281100522,NA,1569.624
1438.13419988388,NA,1587.4276
1438.13558876256,NA,1558.8749
1438.13697764125,NA,1564.5474
1438.13836651994,NA,1560.6963
1438.13975539865,NA,1568.9414
1438.14114427734,NA,1563.4055
1438.14253315605,NA,1552.3225
1438.14392203477,NA,1562.8385
1438.14531091351,NA,1567.1633
1438.14669979226,NA,1571.9869
1438.148088671,NA,1562.3816
1438.14947754975,NA,1551.1293
1438.15086642849,NA,1554.4136
1438.15225530727,NA,1569.3108
1438.15364418604,NA,1567.5781
1438.15503306481,NA,1560.4857
1438.15642194362,NA,1562.4293
1438.15781082239,NA,1561.7263
1438.15919970119,NA,1561.5299
1438.16058858002,NA,1557.9659
1438.16197745883,NA,1567.9606
1438.16336633766,NA,1566.4429
1438.16475521649,NA,1551.7664
1438.16614409532,NA,1549.4373
1438.16753297415,NA,1557.703
1438.16892185302,NA,1550.8435
1438.17031073188,NA,1575.6901
1438.17169961074,NA,1563.1754
1438.17308848963,NA,1565.4978
1438.17447736849,NA,1558.6792
1438.17586624738,NA,1559.7567
1438.1772551263,NA,1553.5913
1438.17864400519,NA,1557.083
1438.18003288411,NA,1562.9087
1438.18142176303,NA,1559.8549
1438.18281064195,NA,1563.7281
1438.18419952086,NA,1556.9967
1438.18558839981,NA,1555.3977
1438.18697727876,NA,1554.5415
1438.18836615771,NA,1547.7378
1438.18975503666,NA,1556.9224
1438.19114391563,NA,1552.0383
1438.19253279461,NA,1561.2327
1438.19392167359,NA,1558.6692
1438.19531055257,NA,1564.6759
1438.19669943154,NA,1556.6483
1438.19808831055,1561.9932,1561.9932
1438.19947718956,1530.5082,1530.5082
1438.20086606859,1534.733,1534.733
1438.2022549476,1558.9431,1558.9431
1438.20364382664,1553.7203,1553.7203
1438.20503270567,1543.8163,1543.8163
1438.20642158471,1539.3099,1539.3099
1438.20781046374,1549.0959,1549.0959
1438.20919934281,1564.8268,1564.8268
1438.21058822187,1560.0947,1560.0947
1438.21197710094,1546.209,1546.209
1438.21336598,1551.655,1551.655
1438.2147548591,1561.5553,1561.5553
1438.21614373819,1544.1809,1544.1809
1438.21753261728,1543.8636,1543.8636
1438.21892149638,1555.0214,1555.0214
1438.2203103755,1552.3783,1552.3783
1438.22169925459,1540.9323,1540.9323
1438.22308813372,1569.8641,1569.8641
1438.22447701287,1559.3992,1559.3992
1438.22586589199,1567.5112,1567.5112
1438.22725477114,1559.0718,1559.0718
1438.2286436503,1575.0322,1575.0322
1438.23003252945,1557.1351,1557.1351
1438.2314214086,1556.8053,1556.8053
1438.23281028778,1549.3649,1549.3649
1438.23419916693,1564.83,1564.83
1438.23558804611,1563.8311,1563.8311
1438.23697692532,1560.2128,1560.2128
1438.23836580451,1558.4885,1558.4885
1438.23975468372,1560.7346,1560.7346
1438.24114356293,1560.8342,1560.8342
1438.24253244214,1572.6846,1572.6846
1438.24392132135,1563.6687,1563.6687
1438.24531020059,1563.3291,1563.3291
1438.24669907982,1548.9423,1548.9423
1438.24808795906,1545.3315,1545.3315
1438.2494768383,1566.6603,1566.6603
1438.25086571754,1551.222,1551.222
1438.25225459681,1571.7682,1571.7682
1438.25364347608,1569.4061,1569.4061
1438.25503235535,1567.9987,1567.9987
1438.25642123462,1564.5524,1564.5524
1438.25781011391,1567.8807,1567.8807
1438.25919899321,1568.0911,1568.0911
1438.26058787251,1584.2742,1584.2742
1438.26197675181,1568.1345,1568.1345
1438.2633656311,1576.8806,1576.8806
1438.26475451043,1556.8624,1556.8624
1438.26614338976,1567.7266,1567.7266
1438.26753226908,1562.0967,1562.0967
1438.26892114841,1561.5656,1561.5656
1438.27031002777,1586.4723,1586.4723
1438.27169890709,1572.9591,1572.9591
1438.27308778645,1575.6594,1575.6594
1438.2744766658,1567.9053,1567.9053
1438.27586554519,1569.4688,1569.4688
1438.27725442455,1581.7045,1581.7045
1438.27864330393,1564.2517,1564.2517
1438.28003218332,1586.2395,1586.2395
1438.2814210627,1576.3246,1576.3246
1438.28280994211,1566.4537,1566.4537
1438.2841988215,1577.2867,1577.2867
1438.28558770091,1566.9438,1566.9438
1438.28697658033,1573.8651,1573.8651
1438.28836545974,1568.6547,1568.6547
1438.28975433918,1578.1595,1578.1595
1438.2911432186,1557.5466,1557.5466
1438.29253209804,1580.7731,1580.7731
1438.29392097748,1573.6827,1573.6827
1438.29530985696,1572.9022,1572.9022
1438.2966987364,1575.2981,1575.2981
1438.29808761587,1547.7728,1547.7728
1438.29947649534,1562.5039,1562.5039
1438.30086537482,1576.4484,1576.4484
1438.30225425429,1567.9768,1567.9768
1438.30364313376,1554.8031,1554.8031
1438.30503201326,1583.6047,1583.6047
1438.30642089276,1569.624,1569.624
1438.30780977226,1587.4276,1587.4276
1438.30919865177,1558.8749,1558.8749
1438.3105875313,1564.5474,1564.5474
1438.31197641083,1560.6963,1560.6963
1438.31336529036,1568.9414,1568.9414
1438.31475416989,1563.4055,1563.4055
1438.31614304942,1552.3225,1552.3225
1438.31753192898,1562.8385,1562.8385
1438.31892080851,1567.1633,1567.1633
1438.32030968807,1571.9869,1571.9869
1438.32169856763,1562.3816,1562.3816
1438.32308744721,1551.1293,1551.1293
1438.32447632677,1554.4136,1554.4136
1438.32586520636,1569.3108,1569.3108
1438.32725408595,1567.5781,1567.5781
1438.32864296554,1560.4857,1560.4857
1438.33003184513,1562.4293,1562.4293
1438.33142072475,1561.7263,1561.7263
1438.33280960433,1561.5299,1561.5299
1438.33419848395,1557.9659,1557.9659
1438.33558736357,1567.9606,1567.9606
1438.33697624322,1566.4429,1566.4429
1438.33836512283,1551.7664,1551.7664
1438.33975400248,1549.4373,1549.4373
1438.34114288213,1557.703,1557.703
1438.34253176177,1550.8435,1550.8435
1438.34392064142,1575.6901,1575.6901
1438.34530952107,1563.1754,1563.1754
1438.34669840075,1565.4978,1565.4978
1438.34808728042,1558.6792,1558.6792
1438.3494761601,1559.7567,1559.7567
1438.35086503977,1553.5913,1553.5913
1438.35225391945,1557.083,1557.083
1438.35364279915,1562.9087,1562.9087
1438.35503167886,1559.8549,1559.8549
1438.35642055853,1563.7281,1563.7281
1438.35780943827,1556.9967,1556.9967
1438.35919831797,1555.3977,1555.3977
1438.36058719768,1554.5415,1554.5415
1438.36197607741,1547.7378,1547.7378
1438.36336495715,1556.9224,1556.9224
1438.36614271662,1552.0383,1552.0383
1438.36753159638,1561.2327,1561.2327
1438.36892047611,1558.6692,1558.6692
1438.37030935587,1564.6759,1564.6759
1438.37169823564,1556.6483,1556.6483
1438.3730871154,1554.2385,1554.2385
1438.37447599519,1562.7991,1562.7991
1438.37586487496,1565.0134,1565.0134
1438.37725375475,1574.2125,1574.2125
1438.37864263454,1558.0684,1558.0684
1438.38003151433,1566.2736,1566.2736
1438.38142039413,1556.76,1556.76
1438.38280927395,1555.8451,1555.8451
1438.38419815374,1571.4332,1571.4332
1438.38558703356,1556.3516,1556.3516
1438.38697591338,1567.2861,1567.2861
1438.3883647932,1568.2563,1568.2563
1438.38975367305,1561.2407,1561.2407
1438.39114255288,1566.4575,1566.4575
1438.39253143273,1565.6226,1565.6226
1438.39392031258,1561.6935,1561.6935
1438.39530919243,1569.5349,1569.5349
1438.39669807228,1567.8566,1567.8566
1438.39808695213,1563.5605,1563.5605
1438.39947583201,1565.8225,1565.8225
1438.40086471189,1567.2194,1567.2194
1438.40225359177,1562.5938,1562.5938
1438.40364247165,1565.0614,1565.0614
1438.40503135153,1573.1852,1573.1852
1438.40642023144,1563.5383,1563.5383
