"time","pdcsap_flux","pdcsap_flux_arma"
1325.30099747924,808.00763,808.00763
1325.30238638014,819.12976,819.12976
1325.30377528105,816.34967,816.34967
1325.30516418195,817.39899,817.39899
1325.30655308286,816.53314,816.53314
1325.30794198423,815.64111,815.64111
1325.30933088513,816.96539,816.96539
1325.31071978604,828.4397,828.4397
1325.31210868694,822.09161,822.09161
1325.31349758784,806.4809,806.4809
1325.31488648875,813.69891,813.69891
1325.31627538965,797.91254,797.91254
1325.31766429056,809.57269,809.57269
1325.31905319146,812.07245,812.07245
1325.32044209283,814.31232,814.31232
1325.32183099374,820.52209,820.52209
1325.32321989464,823.21869,823.21869
1325.32460879555,813.15961,813.15961
1325.32599769645,808.12213,808.12213
1325.32738659689,813.25439,813.25439
1325.32877549779,811.06415,811.06415
1325.3301643987,821.47791,821.47791
1325.3315532996,799.03284,799.03284
1325.33294220051,812.47516,812.47516
1325.33433110141,820.08612,820.08612
1325.33572000231,812.23376,812.23376
1325.33710890322,821.36371,821.36371
1325.33849780412,812.08685,812.08685
1325.33988670456,822.78284,822.78284
1325.34127560547,819.3208,819.3208
1325.34266450637,810.52979,810.52979
1325.34405340728,806.37891,806.37891
1325.34544230818,814.24048,814.24048
1325.34683120862,805.37701,805.37701
1325.34822010952,811.2959,811.2959
1325.34960901043,819.17505,819.17505
1325.35099791133,815.94885,815.94885
1325.35238681177,813.59534,813.59534
1325.35377571267,812.41663,812.41663
1325.35516461358,823.44037,823.44037
1325.35655351402,809.34521,809.34521
1325.35794241492,815.7558,815.7558
1325.35933131583,823.08295,823.08295
1325.36072021627,818.61182,818.61182
1325.36210911717,826.17047,826.17047
1325.36349801761,815.52039,815.52039
1325.36488691851,814.73041,814.73041
1325.36627581942,805.29285,805.29285
1325.36766471986,813.79059,813.79059
1325.36905362076,810.36469,810.36469
1325.3704425212,811.26025,811.26025
1325.3718314221,801.60352,801.60352
1325.37322032254,810.68988,810.68988
1325.37460922345,812.18262,812.18262
1325.37599812389,810.85431,810.85431
1325.37738702432,808.09167,808.09167
1325.37877592523,817.5285,817.5285
1325.38016482567,818.54669,818.54669
1325.38155372657,815.92938,815.92938
1325.38294262701,809.9201,809.9201
1325.38433152791,810.83459,810.83459
1325.38572042835,806.71454,806.71454
1325.38710932879,812.20844,812.20844
1325.3884982297,808.52094,808.52094
1325.38988713014,818.30835,818.30835
1325.39127603057,817.11261,817.11261
1325.39266493148,821.76044,821.76044
1325.39405383192,810.33551,810.33551
1325.39544273236,812.39954,812.39954
1325.39683163279,805.63324,805.63324
1325.3982205337,814.72791,814.72791
1325.39960943414,812.03394,812.03394
1325.40099833458,805.38837,805.38837
1325.40238723501,810.2771,810.2771
1325.40377613545,819.7854,819.7854
